Player,Nation,Squad,Comp,Age,FW,MF,DF,GK,Nation_enc,Squad_enc,Comp_enc
Rafik Messali,FRA,Toulouse,Ligue 1,21.0,0,0,1,0,36,85,1
Junior Messias,BRA,Genoa,Serie A,33.0,1,1,0,0,12,31,3
Connor Metcalfe,AUS,St. Pauli,de Bundesliga,25.0,0,1,0,0,5,80,4
Karol Mets,EST,St. Pauli,de Bundesliga,31.0,0,0,1,0,34,80,4
Thomas Meunier,BEL,Lille,Ligue 1,33.0,0,0,1,0,8,50,1
Alexander Meyer,GER,Dortmund,de Bundesliga,33.0,0,0,0,1,40,23,4
Shumaira Mheuka,ENG,Chelsea,Premier League,17.0,0,1,0,0,31,20,2
Lucas Michal,FRA,Monaco,Ligue 1,19.0,1,1,0,0,36,59,1
Florian Micheler,AUT,Hoffenheim,de Bundesliga,19.0,0,1,0,0,6,37,4
Miguel,ESP,Leganés,La Liga,25.0,1,0,0,0,33,46,0
Valentin Mihaila,ROU,Parma,Serie A,25.0,1,1,0,0,88,69,3
Georges Mikautadze,GEO,Lyon,Ligue 1,24.0,1,0,0,0,39,52,1
Igor Miladinović,SRB,Saint-Étienne,Ligue 1,21.0,1,1,0,0,93,77,1
Nikola Milenković,SRB,Nott'ham Forest,Premier League,27.0,0,0,1,0,93,66,2
Lewis Miley,ENG,Newcastle Utd,Premier League,18.0,0,1,0,0,31,64,2
Vanja Milinković-Savić,SRB,Torino,Serie A,28.0,0,0,0,1,93,83,3
Éder Militão,BRA,Real Madrid,La Liga,27.0,0,0,1,0,12,72,0
Luis Milla,ESP,Getafe,La Liga,30.0,0,1,0,0,33,32,0
Pere Milla,ESP,Espanyol,La Liga,32.0,1,1,0,0,33,26,0
Enzo Millot,FRA,Stuttgart,de Bundesliga,22.0,1,1,0,0,36,82,4
James Milner,ENG,Brighton,Premier League,39.0,0,1,0,0,31,17,2
Kim Min-jae,KOR,Bayern Munich,de Bundesliga,28.0,0,0,1,0,60,10,4
Yerry Mina,COL,Cagliari,Serie A,30.0,0,0,1,0,19,18,3
Takumi Minamino,JPN,Monaco,Ligue 1,30.0,1,1,0,0,58,59,1
Lucas Mincarelli,FRA,Montpellier,Ligue 1,21.0,0,0,1,0,36,60,1
Tyrone Mings,ENG,Aston Villa,Premier League,31.0,0,0,1,0,31,3,2
Óscar Mingueza,ESP,Celta Vigo,La Liga,25.0,0,1,1,0,33,19,0
