Player,Nation,Squad,Comp,Age,FW,MF,DF,GK,Nation_enc,Squad_enc,Comp_enc
Ado Onaiwu,JPN,Auxerre,Ligue 1,29.0,1,1,0,0,58,8,1
Amadou Onana,BEL,Aston Villa,Premier League,23.0,0,1,0,0,8,3,2
André Onana,CMR,Manchester Utd,Premier League,28.0,0,0,0,1,17,56,2
Jean Onana,CMR,Genoa,Serie A,25.0,0,1,0,0,17,31,3
Jacob Ondrejka,SWE,Parma,Serie A,22.0,1,1,0,0,98,69,3
Karim Onisiwo,AUT,Mainz 05,de Bundesliga,32.0,1,1,0,0,6,53,4
Paul Onuachu,NGA,Southampton,Premier League,30.0,1,0,0,0,77,79,2
Frank Onyeka,NGA,Augsburg,de Bundesliga,27.0,0,1,0,0,77,7,4
Loïs Openda,BEL,RB Leipzig,de Bundesliga,25.0,1,1,0,0,8,70,4
Christopher Operi,CIV,Le Havre,Ligue 1,27.0,1,0,1,0,16,44,1
Fredrik Oppegard,NOR,Auxerre,Ligue 1,22.0,0,1,1,0,79,8,1
Victor Orakpo,NGA,Nice,Ligue 1,18.0,1,0,0,0,77,65,1
Ike Orazi,IRL,Reims,Ligue 1,17.0,0,1,0,0,50,74,1
Gift Orban,NGA,Hoffenheim,de Bundesliga,22.0,1,0,0,0,77,37,4
Willi Orban,HUN,RB Leipzig,de Bundesliga,32.0,0,0,1,0,48,70,4
Ivan Ordets,UKR,Bochum,de Bundesliga,32.0,0,0,1,0,102,12,4
Lewis Orford,ENG,West Ham,Premier League,19.0,0,1,0,0,31,93,2
Gaetano Oristanio,ITA,Venezia,Serie A,22.0,1,1,0,0,55,90,3
Aimar Oroz,ESP,Osasuna,La Liga,23.0,0,1,0,0,33,67,0
Riccardo Orsolini,ITA,Bologna,Serie A,28.0,1,0,0,0,55,13,3
Stefan Ortega,GER,Manchester City,Premier League,32.0,0,0,0,1,40,55,2
Ángel Ortíz,ESP,Betis,La Liga,20.0,0,0,1,0,33,11,0
Gabriel Osei Misehouy,NED,Girona,La Liga,19.0,1,1,0,0,76,33,0
Gabriel Osho,NGA,Auxerre,Ligue 1,26.0,0,0,1,0,77,8,1
Yordan Osorio,VEN,Parma,Serie A,30.0,0,0,1,0,106,69,3
Patrick Osterhage,GER,Freiburg,de Bundesliga,25.0,0,1,0,0,40,29,4
William Osula,DEN,Newcastle Utd,Premier League,21.0,1,0,0,0,27,64,2
Jibril Othman,TUN,Saint-Étienne,Ligue 1,20.0,1,0,0,0,100,77,1
David Otorbi,ESP,Valencia,La Liga,17.0,0,1,0,0,33,88,0
Dango Ouattara,BFA,Bournemouth,Premier League,23.0,1,0,0,0,10,14,2
Guimissongui Ouattara,FRA,Strasbourg,Ligue 1,19.0,1,0,1,0,36,81,1
Kassoum Ouattara,FRA,Monaco,Ligue 1,20.0,1,0,1,0,36,59,1
Remi Oudin,FRA,Lecce,Serie A,28.0,1,1,0,0,36,45,3
Assan Ouedraogo,GER,RB Leipzig,de Bundesliga,18.0,0,1,0,0,40,70,4
Zinédine Ould Khaled,FRA,Angers,Ligue 1,25.0,0,1,0,0,36,1,1
Cheick Oumar Conde,GUI,Venezia,Serie A,24.0,0,1,0,0,46,90,3
Jesús Owono,EQG,Alavés,La Liga,24.0,0,0,0,1,32,0,0
Beres Owusu,FRA,Saint-Étienne,Ligue 1,21.0,0,0,1,0,36,77,1
Elisha Owusu,GHA,Auxerre,Ligue 1,27.0,0,1,0,0,41,8,1
Mikel Oyarzabal,ESP,Real Sociedad,La Liga,27.0,1,1,0,0,33,73,0
Daniel Oyegoke,ENG,Hellas Verona,Serie A,22.0,0,0,1,0,31,36,3
Salih Özcan,TUR,Dortmund,de Bundesliga,27.0,0,1,0,0,101,23,4
Cenk Özkacar,TUR,Valladolid,La Liga,24.0,0,0,1,0,101,89,0
Nico O’Reilly,ENG,Manchester City,Premier League,19.0,0,1,1,0,31,55,2
Jon Pacheco,ESP,Real Sociedad,La Liga,24.0,0,0,1,0,33,73,0
Willian Pacho,ECU,Paris S-G,Ligue 1,23.0,0,0,1,0,29,68,1
Daniele Padelli,ITA,Udinese,Serie A,39.0,0,0,0,1,55,86,3
Alex Padilla,ESP,Athletic Club,La Liga,21.0,0,0,0,1,33,5,0
Simone Pafundi,ITA,Udinese,Serie A,19.0,0,1,0,0,55,86,3
Exequiel Palacios,ARG,Leverkusen,de Bundesliga,26.0,0,1,0,0,3,49,4
Tiago Palacios,ARG,Inter,Serie A,21.0,0,0,1,0,3,39,3
Isaac Palazón Camacho,ESP,Rayo Vallecano,La Liga,30.0,1,1,0,0,33,71,0
Alberto Paleari,ITA,Torino,Serie A,32.0,0,0,0,1,55,83,3
Marco Palestra,ITA,Atalanta,Serie A,20.0,0,0,1,0,55,4,3
João Palhinha,POR,Bayern Munich,de Bundesliga,29.0,0,1,0,0,86,10,4
Nicolas Pallois,FRA,Nantes,Ligue 1,37.0,0,0,1,0,36,62,1
Alex Palmer,ENG,Ipswich Town,Premier League,28.0,0,0,0,1,31,40,2
Cole Palmer,ENG,Chelsea,Premier League,22.0,0,1,0,0,31,20,2
Emerson Palmieri,ITA,West Ham,Premier League,30.0,0,0,1,0,55,93,2
Mats Pannewig,GER,Bochum,de Bundesliga,20.0,0,1,0,0,40,12,4
Lucas Paquetá,BRA,West Ham,Premier League,27.0,1,1,0,0,12,93,2
Aitor Paredes,ESP,Athletic Club,La Liga,24.0,0,0,1,0,33,5,0
Leandro Paredes,ARG,Roma,Serie A,30.0,0,1,0,0,3,76,3
Daniel Parejo,ESP,Villarreal,La Liga,35.0,0,1,0,0,33,91,0
Fabiano Parisi,ITA,Fiorentina,Serie A,24.0,0,1,1,0,55,28,3
Thomas Partey,GHA,Arsenal,Premier League,31.0,0,1,1,0,41,2,2
Mario Pašalić,CRO,Atalanta,Serie A,30.0,0,1,0,0,23,4,3
Álvaro Pascual,ESP,Sevilla,La Liga,23.0,1,0,0,0,33,78,0
Felix Passlack,GER,Bochum,de Bundesliga,26.0,0,1,1,0,40,12,4
Patric,ESP,Lazio,Serie A,31.0,0,0,1,0,33,43,3
Rui Patrício,POR,Atalanta,Serie A,37.0,0,0,0,1,86,4,3
Nathan Patterson,SCO,Everton,Premier League,23.0,1,0,1,0,90,27,2
Benjamin Pavard,FRA,Inter,Serie A,28.0,0,0,1,0,36,39,3
Aleksandar Pavlovic,GER,Bayern Munich,de Bundesliga,20.0,0,1,0,0,40,10,4
Strahinja Pavlović,SRB,Milan,Serie A,23.0,0,0,1,0,93,58,3
Leonardo Pavoletti,ITA,Cagliari,Serie A,36.0,1,1,0,0,55,18,3
Martín Payero,ARG,Udinese,Serie A,26.0,0,1,0,0,3,86,3
Nicolas Pays,FRA,Montpellier,Ligue 1,21.0,1,1,0,0,36,60,1
Nicolás Paz,ARG,Como,Serie A,20.0,1,1,0,0,3,21,3
Mads Pedersen,DEN,Augsburg,de Bundesliga,28.0,0,0,1,0,27,7,4
Marcus Pedersen,NOR,Torino,Serie A,24.0,0,0,1,0,79,83,3
Alfonso Pedraza,ESP,Villarreal,La Liga,28.0,0,1,1,0,33,91,0
Pedri,ESP,Barcelona,La Liga,22.0,0,1,0,0,33,9,0
Pedro,ESP,Lazio,Serie A,37.0,1,1,0,0,33,43,3
Kévin Pedro,FRA,Saint-Étienne,Ligue 1,19.0,0,0,1,0,36,77,1
Adrià Pedrosa,ESP,Sevilla,La Liga,26.0,0,0,1,0,33,78,0
Jordan Pefok,USA,Union Berlin,de Bundesliga,28.0,1,0,0,0,104,87,4
Pejiño,ESP,Las Palmas,La Liga,28.0,1,0,0,0,33,42,0
Pietro Pellegri,ITA,Empoli,Serie A,23.0,1,0,0,0,55,25,3
Lorenzo Pellegrini,ITA,Roma,Serie A,28.0,0,1,0,0,55,76,3
Luca Pellegrini,ITA,Lazio,Serie A,26.0,0,0,1,0,55,43,3
Mateo Pellegrino,ARG,Parma,Serie A,24.0,1,0,0,0,3,69,3
Théo Pellenard,FRA,Auxerre,Ligue 1,31.0,0,0,1,0,36,8,1
Andy Pelmard,FRA,Las Palmas,La Liga,24.0,0,0,1,0,36,42,0
Timothee Pembele,FRA,Le Havre,Ligue 1,22.0,0,0,1,0,36,44,1
Faris Pemi Moumbagna,CMR,Marseille,Ligue 1,24.0,1,0,0,0,17,57,1
Iñaki Peña,ESP,Barcelona,La Liga,26.0,0,0,0,1,33,9,0
Rubén Peña,ESP,Osasuna,La Liga,33.0,1,0,1,0,33,67,0
Nicolas Pépé,CIV,Villarreal,La Liga,29.0,1,1,0,0,16,91,0
Peque,ESP,Sevilla,La Liga,22.0,1,1,0,0,33,78,0
Óscar Perea,COL,Strasbourg,Ligue 1,19.0,0,1,0,0,19,81,1
Andreas Pereira,BRA,Fulham,Premier League,29.0,0,1,0,0,12,30,2
Mathias Pereira Lage,POR,Brest,Ligue 1,28.0,1,1,0,0,86,16,1
Pedro Pereira,POR,Monza,Serie A,27.0,0,0,1,0,86,61,3
Ricardo Pereira,POR,Leicester City,Premier League,31.0,0,0,1,0,86,47,2
Gastón Pereiro,URU,Genoa,Serie A,29.0,0,1,0,0,103,31,3
Daniel Peretz,ISR,Bayern Munich,de Bundesliga,24.0,0,0,0,1,54,10,4
Ayoze Pérez,ESP,Villarreal,La Liga,31.0,1,0,0,0,33,91,0
Carles Pérez,ESP,Getafe,La Liga,27.0,1,1,0,0,33,32,0
Francisco Perez,ESP,Valencia,La Liga,22.0,1,1,0,0,33,88,0
Kike Pérez,ESP,Valladolid,La Liga,28.0,0,1,0,0,33,89,0
Luis Pérez,ESP,Valladolid,La Liga,30.0,0,0,1,0,33,89,0
Nehuén Pérez,ARG,Udinese,Serie A,24.0,0,0,1,0,3,86,3
Simone Perilli,ITA,Hellas Verona,Serie A,30.0,0,0,0,1,55,36,3
Mattia Perin,ITA,Juventus,Serie A,32.0,0,0,0,1,55,41,3
Romain Perraud,FRA,Betis,La Liga,27.0,0,0,1,0,36,11,0
Lucas Perri,BRA,Lyon,Ligue 1,27.0,0,0,0,1,12,52,1
Gaëtan Perrin,FRA,Auxerre,Ligue 1,28.0,1,1,0,0,36,8,1
Máximo Perrone,ARG,Como,Serie A,22.0,0,1,0,0,3,21,3
Noah Pesch,CRO,Gladbach,de Bundesliga,19.0,1,0,0,0,23,34,4
Matteo Pessina,ITA,Monza,Serie A,27.0,0,1,0,0,55,61,3
Andrea Petagna,ITA,Monza,Serie A,29.0,1,0,0,0,55,61,3
Léo Pétrot,FRA,Saint-Étienne,Ligue 1,27.0,0,0,1,0,36,77,1
Đorđe Petrović,SRB,Strasbourg,Ligue 1,25.0,0,0,0,1,93,81,1
Giuseppe Pezzella,ITA,Empoli,Serie A,27.0,1,0,1,0,55,25,3
Valentín Pezzolesi,ESP,Las Palmas,La Liga,17.0,0,0,1,0,33,42,0
Luca Philipp,GER,Hoffenheim,de Bundesliga,24.0,0,0,0,1,40,37,4
Maximilian Philipp,GER,Freiburg,de Bundesliga,31.0,1,1,0,0,40,29,4
Kalvin Phillips,ENG,Ipswich Town,Premier League,29.0,0,1,0,0,31,40,2
Jaden Philogene Bidace,ENG,Ipswich Town,Premier League,23.0,1,0,1,0,31,40,2
Pica,ESP,Alavés,La Liga,23.0,0,0,1,0,33,0,0
Roberto Piccoli,ITA,Cagliari,Serie A,24.0,1,0,0,0,55,18,3
Benedikt Pichler,AUT,Holstein Kiel,de Bundesliga,27.0,1,0,0,0,6,38,4
Jordan Pickford,ENG,Everton,Premier League,31.0,0,0,0,1,31,27,2
Amos Pieper,GER,Werder Bremen,de Bundesliga,27.0,0,0,1,0,40,92,4
Marvin Pieringer,GER,Heidenheim,de Bundesliga,25.0,1,1,0,0,40,35,4
Nicholas Pierini,ITA,Venezia,Serie A,26.0,0,1,0,0,55,90,3
Santiago Pierotti,ARG,Lecce,Serie A,23.0,1,0,0,0,3,45,3
Balthazar Pierret,FRA,Lecce,Serie A,24.0,0,1,0,0,36,45,3
Andrea Pinamonti,ITA,Genoa,Serie A,25.0,1,0,0,0,55,31,3
Ethan Pinnock,JAM,Brentford,Premier League,31.0,0,0,1,0,56,15,2
Yeremi Pino,ESP,Villarreal,La Liga,22.0,0,1,0,0,33,91,0
Niccolò Pisilli,ITA,Roma,Serie A,20.0,0,1,0,0,55,76,3
Semuel Pizzignacco,ITA,Monza,Serie A,23.0,0,0,0,1,55,61,3
Alassane Pléa,FRA,Gladbach,de Bundesliga,32.0,1,1,0,0,36,34,4
Tommaso Pobega,ITA,Bologna,Serie A,25.0,0,1,0,0,55,13,3
Daniel Podence,POR,Wolves,Premier League,29.0,1,1,0,0,86,95,2
Joel Pohjanpalo,FIN,Venezia,Serie A,30.0,1,0,0,0,35,90,3
Matteo Politano,ITA,Napoli,Serie A,31.0,1,1,0,0,55,63,3
Alfie Pond,ENG,Wolves,Premier League,21.0,0,0,1,0,31,95,2
Marin Pongračić,CRO,Fiorentina,Serie A,27.0,0,0,1,0,23,28,3
Nick Pope,ENG,Newcastle Utd,Premier League,32.0,0,0,0,1,31,64,2
Finn Porath,GER,Holstein Kiel,de Bundesliga,28.0,0,1,1,0,40,38,4
Pedro Porro,ESP,Tottenham,Premier League,25.0,0,0,1,0,33,84,2
Portu,ESP,Girona,La Liga,32.0,1,1,0,0,33,33,0
Stefan Posch,AUT,Atalanta,Serie A,27.0,0,0,1,0,6,4,3
Tom Pouilly,FRA,Lens,Ligue 1,21.0,0,0,1,0,36,48,1
Yussuf Poulsen,DEN,RB Leipzig,de Bundesliga,30.0,1,1,0,0,27,70,4
Beñat Prados,ESP,Athletic Club,La Liga,24.0,0,1,0,0,33,5,0
Alexander Prass,AUT,Hoffenheim,de Bundesliga,23.0,0,0,1,0,6,37,4
Matteo Prati,ITA,Cagliari,Serie A,21.0,0,1,0,0,55,18,3
Abdón Prats,ESP,Mallorca,La Liga,32.0,1,1,0,0,33,54,0
Grischa Prömel,GER,Hoffenheim,de Bundesliga,30.0,0,1,0,0,40,37,4
Ivan Provedel,ITA,Lazio,Serie A,30.0,0,0,0,1,55,43,3
Ivan Prtajin,CRO,Union Berlin,de Bundesliga,28.0,1,0,0,0,23,87,4
Javi Puado,ESP,Espanyol,La Liga,26.0,1,1,0,0,33,26,0
Tymoteusz Puchacz,POL,Holstein Kiel,de Bundesliga,26.0,0,0,1,0,85,38,4
Diego Pugno,ITA,Juventus,Serie A,18.0,1,0,0,0,55,41,3
Christian Pulisic,USA,Milan,Serie A,26.0,1,1,0,0,104,58,3
Jarell Quansah,ENG,Liverpool,Premier League,22.0,0,0,1,0,31,51,2
Leopold Querfeld,AUT,Union Berlin,de Bundesliga,21.0,0,0,1,0,6,87,4
Dani Raba,ESP,Leganés,La Liga,29.0,1,1,0,0,33,46,0
Adrien Rabiot,FRA,Marseille,Ligue 1,29.0,0,1,0,0,36,57,1
Ionuț Radu,ROU,Venezia,Serie A,27.0,0,0,0,1,88,90,3
Hamza Rafia,TUN,Lecce,Serie A,25.0,0,1,0,0,100,45,3
Hákon Rafn Valdimarsson,ISL,Brentford,Premier League,23.0,0,0,0,1,53,15,2
Antonio Raillo,ESP,Mallorca,La Liga,33.0,0,0,1,0,33,54,0
Antonio Raimondo,ITA,Venezia,Serie A,20.0,1,0,1,0,55,90,3
Ylber Ramadani,ALB,Lecce,Serie A,28.0,0,1,0,0,0,45,3
Benito Ramírez,ESP,Las Palmas,La Liga,29.0,0,1,1,0,33,42,0
Sandro Ramírez,ESP,Las Palmas,La Liga,29.0,1,1,0,0,33,42,0
Gonçalo Ramos,POR,Paris S-G,Ligue 1,23.0,1,0,0,0,86,68,1
Aaron Ramsdale,ENG,Southampton,Premier League,26.0,0,0,0,1,31,79,2
Jacob Ramsey,ENG,Aston Villa,Premier League,23.0,1,1,0,0,31,3,2
Luca Ranieri,ITA,Fiorentina,Serie A,25.0,0,0,1,0,55,28,3
Grant Ranos,ARM,Gladbach,de Bundesliga,21.0,1,0,0,0,4,34,4
Lilian Raolisoa,FRA,Angers,Ligue 1,24.0,1,0,1,0,36,1,1
Raphinha,BRA,Barcelona,La Liga,28.0,1,1,0,0,12,9,0
Marcus Rashford,ENG,Aston Villa,Premier League,27.0,1,0,0,0,31,3,2
Giacomo Raspadori,ITA,Napoli,Serie A,25.0,1,1,0,0,55,63,3
Andrei Ratiu,ROU,Rayo Vallecano,La Liga,26.0,0,0,1,0,88,71,0
Raúl,ESP,Osasuna,La Liga,24.0,1,1,0,0,33,67,0
David Raum,GER,RB Leipzig,de Bundesliga,26.0,0,0,1,0,40,70,4
Federico Ravaglia,ITA,Bologna,Serie A,25.0,0,0,0,1,55,13,3
Rayan Raveloson,MAD,Auxerre,Ligue 1,28.0,0,1,1,0,66,8,1
David Raya,ESP,Arsenal,Premier League,29.0,0,0,0,1,33,2,2
Abderrahman Rebbach,ALG,Alavés,La Liga,26.0,1,1,0,0,1,0,0
Ante Rebić,CRO,Lecce,Serie A,31.0,1,1,0,0,23,45,3
Harrison Reed,ENG,Fulham,Premier League,30.0,0,1,0,0,31,30,2
Remy Rees-Dottin,ENG,Bournemouth,Premier League,19.0,1,0,0,0,31,14,2
Sergio Reguilón,ESP,Tottenham,Premier League,28.0,0,0,1,0,33,84,2
Bobby Reid,JAM,Leicester City,Premier League,32.0,1,1,0,0,56,47,2
Tijjani Reijnders,NED,Milan,Serie A,26.0,0,1,0,0,76,58,3
Pepe Reina,ESP,Como,Serie A,42.0,0,0,0,1,33,21,3
Rocco Reitz,GER,Gladbach,de Bundesliga,22.0,0,1,0,0,40,34,4
Nicolai Remberg,GER,Holstein Kiel,de Bundesliga,24.0,0,1,0,0,40,38,4
Álex Remiro,ESP,Real Sociedad,La Liga,29.0,0,0,0,1,33,73,0
Devyne Rensch,NED,Roma,Serie A,22.0,0,0,1,0,76,76,3
Guillaume Restes,FRA,Toulouse,Ligue 1,19.0,0,0,0,1,36,85,1
Mateo Retegui,ITA,Atalanta,Serie A,25.0,1,0,0,0,55,4,3
Elvis Rexhbeçaj,KVX,Augsburg,de Bundesliga,27.0,0,1,0,0,62,7,4
Gio Reyna,USA,Dortmund,de Bundesliga,22.0,0,1,0,0,104,23,4
Chadi Riad,MAR,Crystal Palace,Premier League,21.0,0,0,1,0,67,22,2
Alexsandro Ribeiro,BRA,Lille,Ligue 1,25.0,0,0,1,0,12,50,1
Samuele Ricci,ITA,Torino,Serie A,23.0,0,1,0,0,55,83,3
Declan Rice,ENG,Arsenal,Premier League,26.0,0,1,0,0,31,2,2
Chris Richards,USA,Crystal Palace,Premier League,24.0,0,0,1,0,104,22,2
Amir Richardson,MAR,Fiorentina,Serie A,23.0,0,1,0,0,67,28,3
Richarlison,BRA,Tottenham,Premier League,27.0,1,0,0,0,12,84,2
Diego Rico,ESP,Getafe,La Liga,32.0,0,0,1,0,33,32,0
Fabian Rieder,SUI,Stuttgart,de Bundesliga,23.0,1,1,0,0,94,82,4
Luis Rioja,ESP,Valencia,La Liga,31.0,1,1,0,0,33,88,0
Rodrigo Riquelme,ESP,Atlético Madrid,La Liga,24.0,0,1,1,0,33,6,0
Alberto Risco,ESP,Getafe,La Liga,19.0,1,1,0,0,33,32,0
Mihailo Ristić,SRB,Celta Vigo,La Liga,29.0,0,1,1,0,93,19,0
Lars Ritzka,GER,St. Pauli,de Bundesliga,26.0,0,1,1,0,40,80,4
Gorka Rivera Alonso,ESP,Getafe,La Liga,20.0,0,1,1,0,33,32,0
Sergi Roberto,ESP,Como,Serie A,33.0,0,1,0,0,33,21,3
Andrew Robertson,SCO,Liverpool,Premier League,30.0,0,0,1,0,90,51,2
Antonee Robinson,USA,Fulham,Premier League,27.0,0,0,1,0,104,30,2
Marc Roca,ESP,Betis,La Liga,28.0,0,1,0,0,33,11,0
Rodri,ESP,Betis,La Liga,24.0,1,0,0,0,33,11,0
Adrian Rodriguez,ESP,Alavés,La Liga,24.0,0,0,0,1,33,0,0
Álvaro Rodríguez,URU,Getafe,La Liga,20.0,1,0,0,0,103,32,0
Óscar Rodríguez Arnaiz,ESP,Leganés,La Liga,26.0,1,1,0,0,33,46,0
Damián Rodríguez,ESP,Celta Vigo,La Liga,21.0,0,1,0,0,33,19,0
Dani Rodríguez,ESP,Mallorca,La Liga,36.0,1,1,0,0,33,54,0
Guido Rodríguez,ARG,West Ham,Premier League,30.0,0,1,0,0,3,93,2
James Rodríguez,COL,Rayo Vallecano,La Liga,33.0,1,1,0,0,19,71,0
Javi Rodríguez,ESP,Celta Vigo,La Liga,21.0,0,0,1,0,33,19,0
Jesus Rodríguez,ESP,Betis,La Liga,19.0,1,0,0,0,33,11,0
Kirian Rodríguez,ESP,Las Palmas,La Liga,29.0,0,1,0,0,33,42,0
Ricardo Rodríguez,SUI,Betis,La Liga,32.0,0,0,1,0,94,11,0
Rodrygo,BRA,Real Madrid,La Liga,24.0,1,1,0,0,12,72,0
Mads Roerslev,DEN,Wolfsburg,de Bundesliga,25.0,0,0,1,0,27,94,4
Morgan Rogers,ENG,Aston Villa,Premier League,22.0,1,1,0,0,31,3,2
Merlin Röhl,GER,Freiburg,de Bundesliga,22.0,1,1,0,0,40,29,4
Alessio Romagnoli,ITA,Lazio,Serie A,30.0,0,0,1,0,55,43,3
Leo Román,ESP,Mallorca,La Liga,24.0,0,0,0,1,33,54,0
Carlos Romero,ESP,Espanyol,La Liga,23.0,0,1,1,0,33,26,0
Cristian Romero,ARG,Tottenham,Premier League,26.0,0,0,1,0,3,84,2
Isaac Romero,ESP,Sevilla,La Liga,24.0,1,0,0,0,33,78,0
Luka Romero,ARG,Alavés,La Liga,20.0,1,1,0,0,3,0,0
Oriol Romeu,ESP,Girona,La Liga,33.0,0,1,0,0,33,33,0
Valentin Rongier,FRA,Marseille,Ligue 1,30.0,0,1,1,0,36,57,1
Marten de Roon,NED,Atalanta,Serie A,33.0,0,1,1,0,76,4,3
Vitor Roque,BRA,Betis,La Liga,20.0,1,0,0,0,12,11,0
Pablo Rosario,NED,Nice,Ligue 1,28.0,0,1,1,0,76,65,1
Lasse Rosenboom,GER,Holstein Kiel,de Bundesliga,23.0,0,0,1,0,40,38,4
Max Rosenfelder,GER,Freiburg,de Bundesliga,22.0,0,0,1,0,40,29,4
Valentin Rosier,FRA,Leganés,La Liga,28.0,0,0,1,0,36,46,0
Tom Rothe,GER,Union Berlin,de Bundesliga,20.0,0,1,1,0,40,87,4
Anthony Rouault,FRA,Stuttgart,de Bundesliga,23.0,0,0,1,0,36,82,4
Jonas Rouhi,SWE,Juventus,Serie A,21.0,0,0,1,0,98,41,3
Jérôme Roussillon,FRA,Union Berlin,de Bundesliga,32.0,0,1,1,0,36,87,4
Nicolò Rovella,ITA,Lazio,Serie A,23.0,0,1,0,0,55,43,3
Jon Rowe,ENG,Marseille,Ligue 1,21.0,1,1,0,0,31,57,1
Amir Rrahmani,KVX,Napoli,Serie A,31.0,0,0,1,0,62,63,3
Tommaso Rubino,ITA,Fiorentina,Serie A,18.0,0,1,0,0,55,28,3
Antonio Rüdiger,GER,Real Madrid,La Liga,32.0,0,0,1,0,40,72,0
Matteo Ruggeri,ITA,Atalanta,Serie A,22.0,0,0,1,0,55,4,3
Aitor Ruibal,ESP,Betis,La Liga,28.0,1,0,1,0,33,11,0
Abel Ruiz,ESP,Girona,La Liga,25.0,1,0,0,0,33,33,0
Ferrán Ruiz,ESP,Girona,La Liga,21.0,0,1,0,0,33,33,0
Fabián Ruiz Peña,ESP,Paris S-G,Ligue 1,28.0,0,1,0,0,33,68,1
Gerónimo Rulli,ARG,Marseille,Ligue 1,32.0,0,0,0,1,3,57,1
Georginio Rutter,FRA,Brighton,Premier League,22.0,1,1,0,0,36,17,2
Mathew Ryan,AUS,Lens,Ligue 1,32.0,0,0,0,1,5,48,1
Julian Ryerson,NOR,Dortmund,de Bundesliga,27.0,0,0,1,0,79,23,4
Frederik Rønnow,DEN,Union Berlin,de Bundesliga,32.0,0,0,0,1,27,87,4
José Sá,POR,Wolves,Premier League,32.0,0,0,0,1,86,95,2
Elias Saad,TUN,St. Pauli,de Bundesliga,25.0,1,1,0,0,100,80,4
Youssouf Sabaly,SEN,Betis,La Liga,32.0,0,0,1,0,91,11,0
Emmanuel Sabbi,USA,Le Havre,Ligue 1,27.0,1,1,0,0,104,44,1
Stefano Sabelli,ITA,Genoa,Serie A,32.0,0,0,1,0,55,31,3
Marcel Sabitzer,AUT,Dortmund,de Bundesliga,30.0,1,1,0,0,6,23,4
Falaye Sacko,MLI,Montpellier,Ligue 1,29.0,0,0,1,0,70,60,1
Umar Sadiq,NGA,Real Sociedad,La Liga,28.0,1,0,0,0,77,73,0
Alexis Saelemaekers,BEL,Milan,Serie A,25.0,1,0,1,0,8,58,3
Jorge Sáenz,ESP,Leganés,La Liga,28.0,0,0,1,0,33,46,0
Matvei Safonov,RUS,Paris S-G,Ligue 1,26.0,0,0,0,1,89,68,1
Modibo Sagnan,MLI,Montpellier,Ligue 1,25.0,0,0,1,0,70,60,1
Richie Sagrado,BEL,Venezia,Serie A,21.0,0,0,1,0,8,90,3
Osame Sahraoui,MAR,Lille,Ligue 1,23.0,1,1,0,0,67,50,1
Wesley Saïd,FRA,Lens,Ligue 1,29.0,1,1,0,0,36,48,1
Théo Sainte-Luce,FRA,Montpellier,Ligue 1,26.0,0,0,1,0,36,60,1
Bukayo Saka,ENG,Arsenal,Premier League,23.0,1,1,0,0,31,2,2
Faik Sakar,GER,RB Leipzig,de Bundesliga,17.0,0,1,0,0,40,70,4
Marco Sala,ITA,Lecce,Serie A,25.0,0,0,1,0,55,45,3
Ibrahim Salah,MAR,Brest,Ligue 1,23.0,1,0,0,0,67,16,1
Mohamed Salah,EGY,Liverpool,Premier League,32.0,1,0,0,0,30,51,2
Anass Salah-Eddine,NED,Roma,Serie A,23.0,0,0,1,0,76,76,3
Amine Salama,FRA,Reims,Ligue 1,24.0,1,0,0,0,36,74,1
Jan Salas,ESP,Mallorca,La Liga,19.0,0,1,0,0,33,54,0
Kike Salas,ESP,Sevilla,La Liga,22.0,0,0,1,0,33,78,0
Manolis Saliakas,GRE,St. Pauli,de Bundesliga,28.0,0,1,1,0,44,80,4
William Saliba,FRA,Arsenal,Premier League,23.0,0,0,1,0,36,2,2
Mohammed Salisu,GHA,Monaco,Ligue 1,25.0,0,0,1,0,41,59,1
Roland Sallai,HUN,Freiburg,de Bundesliga,27.0,1,1,0,0,48,29,4
Yoann Salmier,GUF,Le Havre,Ligue 1,32.0,0,0,1,0,45,44,1
Lazar Samardzic,SRB,Atalanta,Serie A,23.0,1,1,0,0,93,4,3
Diadie Samassékou,MLI,Hoffenheim,de Bundesliga,29.0,0,1,0,0,70,37,4
Mama Samba Baldé,GNB,Brest,Ligue 1,29.0,1,0,0,0,43,16,1
Brice Samba,FRA,Lens,Ligue 1,30.0,0,0,0,1,36,48,1
Albert Sambi Lokonga,BEL,Sevilla,La Liga,25.0,0,1,0,0,8,78,0
Junior Sambia,FRA,Empoli,Serie A,28.0,1,0,1,0,36,25,3
Chuky san jose,ESP,Valladolid,La Liga,20.0,1,1,0,0,33,89,0
Antonio Sanabria,PAR,Torino,Serie A,29.0,1,0,0,0,82,83,3
Oihan Sancet,ESP,Athletic Club,La Liga,24.0,0,1,0,0,33,5,0
Alexis Sánchez,CHI,Udinese,Serie A,36.0,1,0,0,0,15,86,3
Antonio Sánchez,ESP,Mallorca,La Liga,28.0,0,1,1,0,33,54,0
Iván Sánchez,ESP,Valladolid,La Liga,32.0,1,1,0,0,33,89,0
Javi Sánchez,ESP,Valladolid,La Liga,27.0,0,0,1,0,33,89,0
Juanlu Sánchez,ESP,Sevilla,La Liga,21.0,0,1,1,0,33,78,0
Manu Sánchez,ESP,Alavés,La Liga,24.0,0,0,1,0,33,0,0
Robert Sánchez,ESP,Chelsea,Premier League,27.0,0,0,0,1,33,20,2
